date,sku,qty
2022-01-01,LUMPY_A,0
2022-01-02,LUMPY_A,0
2022-01-03,LUMPY_A,0
2022-01-04,LUMPY_A,0
2022-01-05,LUMPY_A,0
2022-01-06,LUMPY_A,0
2022-01-07,LUMPY_A,0
2022-01-08,LUMPY_A,5
2022-01-09,LUMPY_A,0
2022-01-10,LUMPY_A,20
2022-01-11,LUMPY_A,0
2022-01-12,LUMPY_A,0
2022-01-13,LUMPY_A,0
2022-01-14,LUMPY_A,0
2022-01-15,LUMPY_A,0
2022-01-16,LUMPY_A,0
2022-01-17,LUMPY_A,5
2022-01-18,LUMPY_A,20
2022-01-19,LUMPY_A,0
2022-01-20,LUMPY_A,5
2022-01-21,LUMPY_A,0
2022-01-22,LUMPY_A,5
2022-01-23,LUMPY_A,0
2022-01-24,LUMPY_A,0
2022-01-25,LUMPY_A,1
2022-01-26,LUMPY_A,20
2022-01-27,LUMPY_A,0
2022-01-28,LUMPY_A,0
2022-01-29,LUMPY_A,0
2022-01-30,LUMPY_A,0
2022-01-31,LUMPY_A,0
2022-02-01,LUMPY_A,0
2022-02-02,LUMPY_A,0
2022-02-03,LUMPY_A,0
2022-02-04,LUMPY_A,0
2022-02-05,LUMPY_A,0
2022-02-06,LUMPY_A,0
2022-02-07,LUMPY_A,0
2022-02-08,LUMPY_A,0
2022-02-09,LUMPY_A,0
2022-02-10,LUMPY_A,0
2022-02-11,LUMPY_A,20
2022-02-12,LUMPY_A,0
2022-02-13,LUMPY_A,0
2022-02-14,LUMPY_A,1
2022-02-15,LUMPY_A,5
2022-02-16,LUMPY_A,0
2022-02-17,LUMPY_A,0
2022-02-18,LUMPY_A,0
2022-02-19,LUMPY_A,5
2022-02-20,LUMPY_A,0
2022-02-21,LUMPY_A,20
2022-02-22,LUMPY_A,0
2022-02-23,LUMPY_A,20
2022-02-24,LUMPY_A,0
2022-02-25,LUMPY_A,0
2022-02-26,LUMPY_A,0
2022-02-27,LUMPY_A,0
2022-02-28,LUMPY_A,0
2022-03-01,LUMPY_A,0
2022-03-02,LUMPY_A,0
2022-03-03,LUMPY_A,0
2022-03-04,LUMPY_A,0
2022-03-05,LUMPY_A,0
2022-03-06,LUMPY_A,1
2022-03-07,LUMPY_A,0
2022-03-08,LUMPY_A,0
2022-03-09,LUMPY_A,0
2022-03-10,LUMPY_A,0
2022-03-11,LUMPY_A,0
2022-03-12,LUMPY_A,0
2022-03-13,LUMPY_A,0
2022-03-14,LUMPY_A,20
2022-03-15,LUMPY_A,0
2022-03-16,LUMPY_A,5
2022-03-17,LUMPY_A,0
2022-03-18,LUMPY_A,0
2022-03-19,LUMPY_A,1
2022-03-20,LUMPY_A,0
2022-03-21,LUMPY_A,0
2022-03-22,LUMPY_A,5
2022-03-23,LUMPY_A,0
2022-03-24,LUMPY_A,0
2022-03-25,LUMPY_A,0
2022-03-26,LUMPY_A,0
2022-03-27,LUMPY_A,0
2022-03-28,LUMPY_A,0
2022-03-29,LUMPY_A,0
2022-03-30,LUMPY_A,0
2022-03-31,LUMPY_A,0
