sku,date,sales
SKU_A,2025-01-01,86.55
SKU_A,2025-01-02,93.85
SKU_A,2025-01-03,95.23
SKU_A,2025-01-04,99.65
SKU_A,2025-01-05,94.68
SKU_A,2025-01-06,96.2
SKU_A,2025-01-07,97.17
SKU_A,2025-01-08,96.77
SKU_A,2025-01-09,90.85
SKU_A,2025-01-10,105.75
SKU_A,2025-01-11,105.66
SKU_A,2025-01-12,96.55
SKU_A,2025-01-13,100.99
SKU_A,2025-01-14,99.57
SKU_A,2025-01-15,99.38
SKU_A,2025-01-16,93.1
SKU_A,2025-01-17,98.43
SKU_A,2025-01-18,102.48
SKU_A,2025-01-19,109.34
SKU_A,2025-01-20,99.57
SKU_A,2025-01-21,97.3
SKU_A,2025-01-22,93.5
SKU_A,2025-01-23,91.89
SKU_A,2025-01-24,96.8
SKU_A,2025-01-25,92.93
SKU_A,2025-01-26,88.04
SKU_A,2025-01-27,85.39
SKU_A,2025-01-28,87.84
SKU_A,2025-01-29,85.5
SKU_A,2025-01-30,86.91
SKU_A,2025-01-31,85.48
SKU_A,2025-02-01,87.61
SKU_A,2025-02-02,80.84
SKU_A,2025-02-03,90.32
SKU_A,2025-02-04,97.32
SKU_A,2025-02-05,91.44
SKU_A,2025-02-06,88.19
SKU_A,2025-02-07,91.68
SKU_A,2025-02-08,85.12
SKU_A,2025-02-09,83.99
SKU_A,2025-02-10,94.71
SKU_A,2025-02-11,90.86
SKU_A,2025-02-12,89.12
SKU_A,2025-02-13,92.53
SKU_A,2025-02-14,93.1
SKU_A,2025-02-15,99.74
SKU_A,2025-02-16,103.07
SKU_A,2025-02-17,105.78
SKU_A,2025-02-18,107.21
SKU_A,2025-02-19,107.94
SKU_A,2025-02-20,105.25
SKU_A,2025-02-21,104.58
SKU_A,2025-02-22,101.88
SKU_A,2025-02-23,112.95
SKU_A,2025-02-24,108.29
SKU_A,2025-02-25,107.61
SKU_A,2025-02-26,114.01
SKU_A,2025-02-27,105.54
SKU_A,2025-02-28,112.12
SKU_A,2025-03-01,109.43
SKU_A,2025-03-02,103.38
SKU_A,2025-03-03,106.37
SKU_A,2025-03-04,109.57
SKU_A,2025-03-05,107.75
SKU_A,2025-03-06,109.36
SKU_A,2025-03-07,103.49
SKU_A,2025-03-08,114.35
SKU_A,2025-03-09,95.91
SKU_A,2025-03-10,96.75
SKU_A,2025-03-11,96.92
SKU_A,2025-03-12,90.38
SKU_A,2025-03-13,99.24
SKU_A,2025-03-14,97.83
SKU_A,2025-03-15,93.59
SKU_A,2025-03-16,90.85
SKU_A,2025-03-17,86.66
SKU_A,2025-03-18,89.34
SKU_A,2025-03-19,95.52
SKU_A,2025-03-20,91.96
SKU_A,2025-03-21,91.56
SKU_A,2025-03-22,95.93
SKU_A,2025-03-23,99.4
SKU_A,2025-03-24,96.8
SKU_A,2025-03-25,98.2
SKU_A,2025-03-26,103.72
SKU_A,2025-03-27,100.34
SKU_A,2025-03-28,99.89
SKU_A,2025-03-29,105.37
SKU_A,2025-03-30,103.22
