date,sku,qty
2022-01-01,SPARE_PART,3
2022-01-02,SPARE_PART,0
2022-01-03,SPARE_PART,0
2022-01-04,SPARE_PART,0
2022-01-05,SPARE_PART,0
2022-01-06,SPARE_PART,3
2022-01-07,SPARE_PART,0
2022-01-08,SPARE_PART,0
2022-01-09,SPARE_PART,0
2022-01-10,SPARE_PART,0
2022-01-11,SPARE_PART,3
2022-01-12,SPARE_PART,0
2022-01-13,SPARE_PART,0
2022-01-14,SPARE_PART,0
2022-01-15,SPARE_PART,0
2022-01-16,SPARE_PART,3
2022-01-17,SPARE_PART,0
2022-01-18,SPARE_PART,0
2022-01-19,SPARE_PART,0
2022-01-20,SPARE_PART,0
2022-01-21,SPARE_PART,3
2022-01-22,SPARE_PART,0
2022-01-23,SPARE_PART,0
2022-01-24,SPARE_PART,0
2022-01-25,SPARE_PART,0
2022-01-26,SPARE_PART,3
2022-01-27,SPARE_PART,0
2022-01-28,SPARE_PART,0
2022-01-29,SPARE_PART,0
2022-01-30,SPARE_PART,0
2022-01-31,SPARE_PART,3
2022-02-01,SPARE_PART,0
2022-02-02,SPARE_PART,0
2022-02-03,SPARE_PART,0
2022-02-04,SPARE_PART,0
2022-02-05,SPARE_PART,3
2022-02-06,SPARE_PART,0
2022-02-07,SPARE_PART,0
2022-02-08,SPARE_PART,0
2022-02-09,SPARE_PART,0
2022-02-10,SPARE_PART,3
2022-02-11,SPARE_PART,0
2022-02-12,SPARE_PART,0
2022-02-13,SPARE_PART,0
2022-02-14,SPARE_PART,0
2022-02-15,SPARE_PART,3
2022-02-16,SPARE_PART,0
2022-02-17,SPARE_PART,0
2022-02-18,SPARE_PART,0
2022-02-19,SPARE_PART,0
2022-02-20,SPARE_PART,3
2022-02-21,SPARE_PART,0
2022-02-22,SPARE_PART,0
2022-02-23,SPARE_PART,0
2022-02-24,SPARE_PART,0
2022-02-25,SPARE_PART,3
2022-02-26,SPARE_PART,0
2022-02-27,SPARE_PART,0
2022-02-28,SPARE_PART,0
2022-03-01,SPARE_PART,0
2022-03-02,SPARE_PART,3
2022-03-03,SPARE_PART,0
2022-03-04,SPARE_PART,0
2022-03-05,SPARE_PART,0
2022-03-06,SPARE_PART,0
2022-03-07,SPARE_PART,3
2022-03-08,SPARE_PART,0
2022-03-09,SPARE_PART,0
2022-03-10,SPARE_PART,0
2022-03-11,SPARE_PART,0
2022-03-12,SPARE_PART,3
2022-03-13,SPARE_PART,0
2022-03-14,SPARE_PART,0
2022-03-15,SPARE_PART,0
2022-03-16,SPARE_PART,0
2022-03-17,SPARE_PART,3
2022-03-18,SPARE_PART,0
2022-03-19,SPARE_PART,0
2022-03-20,SPARE_PART,0
2022-03-21,SPARE_PART,0
2022-03-22,SPARE_PART,3
2022-03-23,SPARE_PART,0
2022-03-24,SPARE_PART,0
2022-03-25,SPARE_PART,0
2022-03-26,SPARE_PART,0
2022-03-27,SPARE_PART,3
2022-03-28,SPARE_PART,0
2022-03-29,SPARE_PART,0
2022-03-30,SPARE_PART,0
2022-03-31,SPARE_PART,0
